,EN,DE,,,,
1,http://en.wikipedia.org/wiki/Apple_Inc.,http://de.wikipedia.org/wiki/Apple,AAPL,Apple,Hard- und Softwarehersteller,#N/A
2,http://en.wikipedia.org/wiki/Abbott_Laboratories,http://de.wikipedia.org/wiki/Abbott_Laboratories,ABT,Abbott Laboratories,"Pharma, Biotechnologie",
3,http://en.wikipedia.org/wiki/Accenture,http://de.wikipedia.org/wiki/Accenture,ACN,Accenture,Unternehmensberatung,
4,http://en.wikipedia.org/wiki/American_Electric_Power,http://de.wikipedia.org/wiki/American_Electric_Power,AEP,American Electric Power,Versorger,
5,http://en.wikipedia.org/wiki/Allstate,http://de.wikipedia.org/wiki/Allstate,ALL,Allstate,Versicherungen,
6,http://en.wikipedia.org/wiki/Amgen,http://de.wikipedia.org/wiki/Amgen,AMGN,Amgen,Biotechnologie,
7,http://en.wikipedia.org/wiki/Amazon.com,http://de.wikipedia.org/wiki/Amazon.com,AMZN,Amazon.com,Internethandel,
8,http://en.wikipedia.org/wiki/Apache_corp,http://de.wikipedia.org/wiki/Apache_Corporation,APA,Apache Corporation,Öl und Gas,
9,http://en.wikipedia.org/wiki/Anadarko_Petroleum_Corporation,http://de.wikipedia.org/wiki/Anadarko_Petroleum,APC,Anadarko Petroleum,Öl und Gas,
10,http://en.wikipedia.org/wiki/American_Express,http://de.wikipedia.org/wiki/American_Express,AXP,American Express,Finanzdienstleister,
11,http://en.wikipedia.org/wiki/Boeing,http://de.wikipedia.org/wiki/Boeing,BA,Boeing,Luft- und Raumfahrt,
12,http://en.wikipedia.org/wiki/Bank_of_America,http://de.wikipedia.org/wiki/Bank_of_America,BAC,Bank of America,Banken,
13,http://en.wikipedia.org/wiki/Baxter_International,http://de.wikipedia.org/wiki/Baxter_International,BAX,Baxter International,"Pharma, Medizintechnik",
14,,http://de.wikipedia.org/wiki/Baker_Hughes,BHI,Baker Hughes,Öl und Gas,
15,http://en.wikipedia.org/wiki/Bank_of_New_York,http://de.wikipedia.org/wiki/Bank_of_New_York_Mellon,BK,Bank of New York Mellon,Banken,
